subject_id,subject_category,predicate_id,object_id,object_category,mapping_justification,author_id,author_label,reviewer_id,reviewer_label,creator_id,creator_label,subject_type,object_type,mapping_date,object_match_field,comment,RegexRemoval,informationElement_localName,compound_name,term_iri
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:stateProvince,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1278,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:waterBody,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1279,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:higherGeography,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0001-9144-2848,Elspeth Haston,,,orcid:0000-0002-3973-1279,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QualitativeLocation,mids2.mids:QualitativeLocation,mids:QualitativeLocation
mids:QuantitativeLocation,mids2,skos:exactMatch,dwc:locationID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1274,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QuantitativeLocation,mids2.mids:QuantitativeLocation,mids:QuantitativeLocation
mids:QuantitativeLocation,mids2,owl:intersectionOf,dwc:decimalLatitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1275,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QuantitativeLocation,mids2.mids:QuantitativeLocation,mids:QuantitativeLocation
mids:QuantitativeLocation,mids2,owl:intersectionOf,dwc:decimalLongitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1276,Mathias Dillen,rdf property,rdf property,2023-09,dwc:decimalLatitude | dwc:decimalLongitude,All properties in object_match_field need to be present,|unknown:undigitized|unknown|Unknown,mids:QuantitativeLocation,mids2.mids:QuantitativeLocation,mids:QuantitativeLocation
mids:QuantitativeLocation,mids2,skos:narrowMatch,dwc:footprintWKT,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1280,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:QuantitativeLocation,mids2.mids:QuantitativeLocation,mids:QuantitativeLocation
mids:CollectingAgent,mids2,skos:narrowMatch,dwc:recordedBy,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1282,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:CollectingAgent,mids2.mids:CollectingAgent,mids:CollectingAgent
mids:CollectingAgent,mids2,skos:narrowMatch,dwc:recordedByID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1283,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:CollectingAgent,mids2.mids:CollectingAgent,mids:CollectingAgent
mids:CollectionDate,mids2,skos:narrowMatch,dwc:eventDate,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1284,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:CollectionDate,mids2.mids:CollectionDate,mids:CollectionDate
mids:CollectionDate,mids2,skos:narrowMatch,dwc:year,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1285,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown,mids:CollectionDate,mids2.mids:CollectionDate,mids:CollectionDate
